title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url,label
occupancy inspector,,compensation:,contract,,2025-04-27T10:16:04-0400,"we perform occupancy checks, inspections on foreclosed homes, and deliver notices to homeowners on behalf of mortgage companies and banks. this is a contracted 1099 job. you will be responsible for your own taxes and expenses. you will receive inspections throughout the week. all inspections have a due date for which it needs to be completed by. typically, you will receive the inspections 5 days before they are due. sometimes you will have less than 5 days to get them completed. basically, you will be ""on call"" based on the due dates of the inspections. the average inspection takes 3-5 minutes. we pay per inspection. that means the more you work the more you'll make we require a 95% on time completion rate. this position works great for someone who wants a flexible schedule. you will be your own boss and work from your car, so being self-motivated is key!",,7845641609,,https://rochester.craigslist.org/rej/d/rochester-occupancy-inspector/7845641609.html,1
lilac festival short order cooks & cashiers!!,,compensation:,contract,,2025-04-24T08:55:54-0400,looking for short order cooks and cashiers to work in our concessions tents and food trucks at the rochester lilac festival downtown in highland park may 9-may 18!! every day service is 10am-8:30pm. we would be looking for highly motivated people who want to work in a fun environment serving at festivals.,,7844814535,,https://rochester.craigslist.org/fbh/d/rochester-lilac-festival-short-order/7844814535.html,1
carpenter/handyman,,compensation:,contract,,2025-04-24T08:56:30-0400,"we are hiring a skilled carpenter for a full-time modular home construction contractor in clifton springs. pay between $22-$28/hour, along with weekly pay. hours are 7:00am-3:30pm monday through friday. must have reliable transportation. if interested, please reach out to ben at (518) 218-5868 or boconnell@aerotek.com. interviews will be conducted this week/early next week and can start the next day.",,7844814639,boconnell@aerotek.com. | (518) 218-5868,https://rochester.craigslist.org/trd/d/clifton-springs-carpenter-handyman/7844814639.html,1
concrete masons/finishers positions,,compensation:,contract,,2025-04-24T10:04:02-0400,"specific masonry positions available: carpenters, masons, finishers, laborers, form fitters lg evans construction, inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction market. applicants with a versatile resume are encouraged to apply. reliability, a strong work ethic, and professionalism are a must. work will be primarily in the rochester and surrounding counties area with some minor travel required. the pay range is approximately $20-$30/hr based on position and experience and is negotiable. we also offer medical benefits, pto, and a 401k plan with company match, along with an excellent working environment!! apply today! there are a variety of ways: website: www.lgevansinc.com - submit an application right from the career tab in person: our main headquarters is located at 1823 lakeville road, avon, ny, 14414 have questions? call (585) 226-2240",,7844831474, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-concrete-masons-finishers-positions/7844831474.html,1
electrical estimator project manager,,compensation:,contract,,2025-04-24T10:04:04-0400,"we are looking for an electrical estimator -with at least 5 years electrical experience in the electrical field. we will train the right person. must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. this is a full time position with great pay and benefits. this is the perfect position for an electrician that doesn't want to work in the field",,7844831488,,https://rochester.craigslist.org/trd/d/rochester-electrical-estimator-project/7844831488.html,1
electrical estimator assistant,,compensation:,contract,,2025-04-24T10:04:51-0400,"we are looking for an electrical estimator -with at least 5 years electrical experience in the electrical field. we will train the right person. must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. this is a full time position with great pay and benefits. this is the perfect position for an electrician that doesn't want to work in the field",,7844831765,,https://rochester.craigslist.org/lab/d/rochester-electrical-estimator-assistant/7844831765.html,1
construction laborer,,compensation:,contract,,2025-04-24T10:05:13-0400,we are looking for a construction laborer that has experience with site work. this person needs to be a self starter that can multi task and has construction experience. ***drivers license is a must **** we offer top pay and benefits !,,7844831886,,https://rochester.craigslist.org/lab/d/rochester-construction-laborer/7844831886.html,0
hiring dishwashers,,compensation:,contract,,2025-04-24T10:39:00-0400,"hiring full time and part time dishwashers, fulltime tues-sat 2:30-close, part time fri and sat 2:30-close. duties include washing dishes, cleaning, light prep, and assisting line cooks. applicants please respond with full name, availability, experience and or resume, and a little bit about yourself and why you would be a good fit. please do not show up in person or call the restaurant or you will not be considered for the position.",,7844841441,,https://rochester.craigslist.org/fbh/d/rochester-hiring-dishwashers/7844841441.html,1
best starting opportunity,start today,compensation:,contract,,2025-04-24T11:35:31-0400,"general labor (start tomorrow) text me 585-500-5662 construction and installation of our great products   (must have transportation) previous construction experience a plus looking for a hard working person , who wants to learn a trade with the opportunity to advance, previous experience in work is ideal and or general construction. can read a tape measure and use hand tools. about us: long time established company, regular hours generally 8:00-4:30. pay based on experience, checks issued weekly call and tell us what experience you have. (please leave best contact number and time to call, so we don't have to play phone tag) tell me why i should hire you??? thank you! looking for team player, who wants great work with good people, ground floor opportunity, year-round work. previous installation experience helpful. must be hard working, organized, and detail oriented. must have own transportation. please.  text me your information and best time to call you and start right away (training available for the right person(s) text me today  585-500-5662 with your name and best time to call ! text mt start right away!",,7844859817, | 585-500-5662,https://rochester.craigslist.org/lab/d/rochester-best-starting-opportunity/7844859817.html,1
fiorella is hiring a host,,compensation:,contract,,2025-04-24T11:49:53-0400,"we are looking for a friendly, upbeat host to work wednesday through saturday evening shifts. must be available to work all four days. the ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. they should be willing to fill in a variety of tasks as needed keep up with busy shifts. if you love the restaurant business and genuinely enjoy people, we need to hear from you. please respond to this post with your resume and availability for an interview",,7844864667,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-is-hiring-host/7844864667.html,1
