title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url
Occupancy Inspector,,compensation:,contract,,2025-04-27T10:16:04-0400,"We perform occupancy checks, inspections on foreclosed homes, and deliver notices to homeowners on behalf of mortgage companies and banks. This is a contracted 1099 job. You will be responsible for your own taxes and expenses. You will receive inspections throughout the week. All inspections have a due date for which it needs to be completed by. Typically, you will receive the inspections 5 days before they are due. Sometimes you will have less than 5 days to get them completed. Basically, you will be ""on call"" based on the due dates of the inspections. The average inspection takes 3-5 minutes. We pay per inspection. That means the more you work the more you'll make We require a 95% on time completion rate. This position works great for someone who wants a flexible schedule. You will be your own boss and work from your car, so being self-motivated is key!",,7845641609,,https://rochester.craigslist.org/rej/d/rochester-occupancy-inspector/7845641609.html
Lilac Festival Short Order Cooks & Cashiers!!,,compensation:,contract,,2025-04-24T08:55:54-0400,Looking for short order cooks and cashiers to work in our concessions tents and food trucks at the Rochester Lilac Festival downtown in Highland Park May 9-May 18!! Every day service is 10am-8:30pm. We would be looking for highly motivated people who want to work in a fun environment serving at festivals.,,7844814535,,https://rochester.craigslist.org/fbh/d/rochester-lilac-festival-short-order/7844814535.html
Carpenter/Handyman,,compensation:,contract,,2025-04-24T08:56:30-0400,"We are hiring a skilled carpenter for a full-time modular home construction contractor in Clifton Springs. Pay between $22-$28/hour, along with weekly pay. Hours are 7:00AM-3:30PM Monday through Friday. Must have reliable transportation. If interested, please reach out to Ben at (518) 218-5868 or boconnell@aerotek.com. Interviews will be conducted this week/early next week and can start the next day.",,7844814639,boconnell@aerotek.com. | (518) 218-5868,https://rochester.craigslist.org/trd/d/clifton-springs-carpenter-handyman/7844814639.html
CONCRETE MASONS/FINISHERS POSITIONS,,compensation:,contract,,2025-04-24T10:04:02-0400,"Specific Masonry Positions Available: Carpenters, Masons, Finishers, Laborers, Form Fitters LG Evans Construction, Inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction Market. Applicants with a versatile resume are encouraged to apply. Reliability, a strong work ethic, and professionalism are a MUST. Work will be primarily in the Rochester and surrounding counties area with some minor travel required. The pay range is approximately $20-$30/hr based on position and experience and is negotiable. We also offer medical benefits, PTO, and a 401K plan with company match, along with an excellent working environment!! Apply today! There are a variety of ways: Website: www.lgevansinc.com - submit an application right from the career tab In person: Our main headquarters is located at 1823 Lakeville Road, Avon, NY, 14414 Have questions? Call (585) 226-2240",,7844831474, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-concrete-masons-finishers-positions/7844831474.html
Electrical Estimator Project Manager,,compensation:,contract,,2025-04-24T10:04:04-0400,"We are looking for an Electrical Estimator -with at least 5 years electrical experience in the electrical field. We will train the right person. Must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. This is a full time position with great pay and benefits. This is the perfect position for an Electrician that doesn't want to work in the field",,7844831488,,https://rochester.craigslist.org/trd/d/rochester-electrical-estimator-project/7844831488.html
Electrical Estimator Assistant,,compensation:,contract,,2025-04-24T10:04:51-0400,"We are looking for an Electrical Estimator -with at least 5 years electrical experience in the electrical field. We will train the right person. Must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. This is a full time position with great pay and benefits. This is the perfect position for an Electrician that doesn't want to work in the field",,7844831765,,https://rochester.craigslist.org/lab/d/rochester-electrical-estimator-assistant/7844831765.html
Construction Laborer,,compensation:,contract,,2025-04-24T10:05:13-0400,We are looking for a Construction Laborer that has experience with site work. This person needs to be a self starter that can multi task and has construction experience. ***Drivers License is a must **** We offer top pay and benefits !,,7844831886,,https://rochester.craigslist.org/lab/d/rochester-construction-laborer/7844831886.html
Hiring dishwashers,,compensation:,contract,,2025-04-24T10:39:00-0400,"Hiring full time and part time dishwashers, fulltime tues-sat 2:30-close, part time Fri and Sat 2:30-close. Duties include washing dishes, cleaning, light prep, and assisting line cooks. Applicants please respond with full name, availability, experience and or resume, and a little bit about yourself and why you would be a good fit. Please do not show up in person or call the restaurant or you will not be considered for the position.",,7844841441,,https://rochester.craigslist.org/fbh/d/rochester-hiring-dishwashers/7844841441.html
Best starting opportunity,start today,compensation:,contract,,2025-04-24T11:35:31-0400,"General labor (start tomorrow) text me 585-500-5662 Construction and installation of our great products   (must have transportation) previous construction experience a plus Looking for a hard working person , who wants to learn a trade with the opportunity to advance, previous experience in work is ideal and or general construction. Can read a tape measure and use hand tools. About us: long time established company, regular hours generally 8:00-4:30. Pay based on experience, Checks issued weekly Call and tell us what experience you have. (Please leave best contact number and time to call, so we don't have to play phone tag) tell me why i should hire you??? Thank you! Looking for team player, who wants great work with good people, Ground floor opportunity, year-round work. Previous installation experience helpful. Must be hard working, organized, and detail oriented. Must have own transportation. Please.  Text me your information and best time to call you and Start right away (training available for the right person(s) text me today  585-500-5662 with your name and best time to call ! text mt start right away!",,7844859817, | 585-500-5662,https://rochester.craigslist.org/lab/d/rochester-best-starting-opportunity/7844859817.html
FIORELLA IS HIRING A HOST,,compensation:,contract,,2025-04-24T11:49:53-0400,"We are looking for a friendly, upbeat host to work Wednesday through Saturday evening shifts. Must be available to work all four days. The ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. They should be willing to fill in a variety of tasks as needed keep up with busy shifts. If you love the restaurant business and genuinely enjoy people, we need to hear from you. Please respond to this post with your resume and availability for an interview",,7844864667,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-is-hiring-host/7844864667.html
